deg/s	rad/s	m	q	R**2
0.764	0.025674144	0.783105289	0.00020384	0.999999729
0.845	0.028562755	0.871491529	0.000287446	0.999999565
0.955	0.032511147	0.992292664	0.000622464	0.999998426
1.064	0.036449841	1.113497472	0.000750458	0.999998183
1.173	0.040412071	1.233961854	0.001276615	0.999995719
1.282	0.044395765	1.358075859	0.002854982	0.999982323
1.391	0.048399194	1.478807748	0.002229558	0.999990908
1.527	0.053419773	1.633199028	0.003480733	0.999981832
1.609	0.056459617	1.726320238	0.003826552	0.999980347
1.745	0.061520975	1.883903277	0.004939168	0.999972506
1.8	0.063574466	1.946160055	0.004680145	0.999976868
1.936	0.068667633	2.104007434	0.006830631	0.999957843
2.018	0.071748666	2.198127141	0.007520876	0.999953176
2.1	0.074836978	2.294319541	0.00867052	0.999942876
2.182	0.0779323	2.389376519	0.008215337	0.999952715
2.264	0.081034385	2.485364551	0.010232638	0.999932201
2.345	0.084105053	2.582245637	0.011085947	0.999926281
2.455	0.08828493	2.709918302	0.013622526	0.999898931
2.564	0.092437552	2.836430343	0.013219943	0.999913117
2.7	0.097633152	3.000572607	0.017647543	0.999861656
2.782	0.100773195	3.095722548	0.016339322	0.999888582
2.891	0.104955456	3.227735423	0.021473622	0.99982299
3	0.109146884	3.362073232	0.025734745	0.999765694
