deg/s	rad/s	m	q	R**2
0.764	0.025674144	0.756	0.0528	1
0.845	0.028562755	0.8443	0.0651	1
0.955	0.032511147	0.9567	0.0737	1
1.064	0.036449841	1.0759	0.0829	1
1.173	0.040412071	1.2021	0.0851	1
1.282	0.044395765	1.3137	0.1327	1
1.391	0.048399194	1.4285	0.1294	1
1.527	0.053419773	1.5744	0.1574	1
1.609	0.056459617	1.6745	0.1657	1
1.745	0.061520975	1.832	0.2461	1
1.8	0.063574466	1.8858	0.2494	1
1.936	0.068667633	2.0248	0.2868	1
2.018	0.071748666	2.1097	0.3076	1
2.1	0.074836978	2.2253	0.3174	1
2.182	0.0779323	2.3143	0.2965	1
2.264	0.081034385	2.4054	0.3382	1
2.345	0.084105053	2.4986	0.3643	1
2.455	0.08828493	2.6363	0.7895	1
2.564	0.092437552	2.7216	0.4281	1
2.7	0.097633152	2.8885	0.4964	1
2.782	0.100773195	2.9867	0.4511	1
2.891	0.104955456	3.0928	0.5314	1
3	0.109146884	3.2335	0.606	1
