initial position stage for tracking = None
start_angle (deg) = -60.000000
target_angle (deg) = 60.000000
tilt_step (deg/img) = 5.000000
rotation_speed (deg/s) = 0.000000
experiment_type = stepwise
tracking_step (deg) = 5.000000
tracking_positions (angle, x, y)
-60.000000, -15.000000, 76.000000
-55.000000, -17.000000, 41.000000
-50.000000, -20.000000, 9.000000
-45.000000, -23.000000, -23.000000
-40.000000, -25.000000, -56.000000
-35.000000, -27.000000, -89.000000
-30.000000, -29.000000, -121.000000
-25.000000, -31.000000, -152.000000
-20.000000, -33.000000, -182.000000
-15.000000, -35.000000, -210.000000
-10.000000, -36.000000, -235.000000
-5.000000, -35.000000, -253.000000
0.000000, -35.000000, -267.000000
5.000000, -38.000000, -277.000000
10.000000, -37.000000, -282.000000
15.000000, -37.000000, -278.000000
20.000000, -35.000000, -270.000000
25.000000, -36.000000, -260.000000
30.000000, -36.000000, -243.000000
35.000000, -31.000000, -222.000000
40.000000, -18.000000, -154.000000
45.000000, -6.000000, -47.000000
50.000000, 9.000000, 64.000000
55.000000, 11.000000, -44.000000
60.000000, 5.000000, -200.000000
end_tracking_file
